window,start_date,end_date,rmse,r2,directional_accuracy
409,2022-04-01,2022-04-01,0.029612564,,1.0
410,2022-04-08,2022-04-08,0.023209527,,0.0
411,2022-04-15,2022-04-15,0.0293433,,0.0
412,2022-04-22,2022-04-22,0.010532862,,1.0
413,2022-04-29,2022-04-29,0.010760829,,1.0
414,2022-05-06,2022-05-06,0.014298286,,1.0
415,2022-05-13,2022-05-13,0.015188855,,1.0
416,2022-05-20,2022-05-20,0.027000867,,1.0
417,2022-05-27,2022-05-27,0.08678839,,0.0
418,2022-06-03,2022-06-03,0.002261226,,1.0
419,2022-06-10,2022-06-10,0.07572763,,0.0
420,2022-06-17,2022-06-17,0.05905013,,1.0
421,2022-06-24,2022-06-24,0.08205329,,0.0
422,2022-07-01,2022-07-01,0.029739525,,0.0
423,2022-07-08,2022-07-08,0.0076925196,,1.0
424,2022-07-15,2022-07-15,0.023701034,,0.0
425,2022-07-22,2022-07-22,0.012146422,,1.0
426,2022-07-29,2022-07-29,0.01890385,,1.0
427,2022-08-05,2022-08-05,0.027877318,,1.0
428,2022-08-12,2022-08-12,0.00013222173,,1.0
429,2022-08-19,2022-08-19,0.029054083,,0.0
430,2022-08-26,2022-08-26,0.048650395,,0.0
431,2022-09-02,2022-09-02,0.026318379,,1.0
432,2022-09-09,2022-09-09,0.050624344,,0.0
433,2022-09-16,2022-09-16,0.046584766,,1.0
434,2022-09-23,2022-09-23,0.03672778,,1.0
435,2022-09-30,2022-09-30,0.0011180528,,1.0
436,2022-10-07,2022-10-07,0.04511509,,0.0
437,2022-10-14,2022-10-14,0.0072812103,,1.0
438,2022-10-21,2022-10-21,0.0381387,,1.0
439,2022-10-28,2022-10-28,0.016965296,,1.0
440,2022-11-04,2022-11-04,0.07869859,,0.0
441,2022-11-11,2022-11-11,0.026847495,,1.0
442,2022-11-18,2022-11-18,0.023279069,,0.0
443,2022-11-25,2022-11-25,0.0064022094,,1.0
444,2022-12-02,2022-12-02,0.005898983,,1.0
445,2022-12-09,2022-12-09,0.056215435,,0.0
446,2022-12-16,2022-12-16,0.019735383,,1.0
447,2022-12-23,2022-12-23,0.015374016,,1.0
448,2022-12-30,2022-12-30,0.0056944983,,0.0
449,2023-01-06,2023-01-06,0.0115531515,,1.0
450,2023-01-13,2023-01-13,0.0070974045,,1.0
451,2023-01-20,2023-01-20,0.029142646,,0.0
452,2023-01-27,2023-01-27,0.009103112,,1.0
453,2023-02-03,2023-02-03,0.0052942894,,1.0
454,2023-02-10,2023-02-10,0.037830934,,0.0
455,2023-02-17,2023-02-17,0.011121845,,0.0
456,2023-02-24,2023-02-24,0.023359025,,1.0
457,2023-03-03,2023-03-03,0.027428517,,0.0
458,2023-03-10,2023-03-10,0.04817397,,0.0
459,2023-03-17,2023-03-17,0.026205365,,0.0
460,2023-03-24,2023-03-24,0.028877221,,0.0
461,2023-03-31,2023-03-31,0.028792806,,1.0
462,2023-04-07,2023-04-07,0.009013304,,1.0
463,2023-04-14,2023-04-14,0.01950556,,1.0
464,2023-04-21,2023-04-21,0.008577196,,0.0
465,2023-04-28,2023-04-28,0.0032221847,,1.0
466,2023-05-05,2023-05-05,0.013850973,,0.0
467,2023-05-12,2023-05-12,0.0033695332,,0.0
468,2023-05-19,2023-05-19,0.023631394,,0.0
469,2023-05-26,2023-05-26,0.006545782,,1.0
470,2023-06-02,2023-06-02,0.020716606,,1.0
471,2023-06-09,2023-06-09,0.010323728,,1.0
472,2023-06-16,2023-06-16,0.004898848,,1.0
473,2023-06-23,2023-06-23,0.03484113,,0.0
474,2023-06-30,2023-06-30,0.0197533,,1.0
475,2023-07-07,2023-07-07,0.0041524917,,1.0
476,2023-07-14,2023-07-14,0.008992577,,1.0
477,2023-07-21,2023-07-21,0.0069139563,,1.0
478,2023-07-28,2023-07-28,0.0059319576,,1.0
479,2023-08-04,2023-08-04,0.033702232,,0.0
480,2023-08-11,2023-08-11,0.003691112,,1.0
481,2023-08-18,2023-08-18,0.010125249,,1.0
482,2023-08-25,2023-08-25,0.017320298,,0.0
483,2023-09-01,2023-09-01,0.031028762,,0.0
484,2023-09-08,2023-09-08,0.022509435,,0.0
485,2023-09-15,2023-09-15,0.010612942,,0.0
486,2023-09-22,2023-09-22,0.019877736,,1.0
487,2023-09-29,2023-09-29,0.0048763067,,1.0
488,2023-10-06,2023-10-06,0.019544495,,0.0
489,2023-10-13,2023-10-13,0.00441489,,1.0
490,2023-10-20,2023-10-20,0.027352825,,0.0
491,2023-10-27,2023-10-27,0.014124263,,1.0
492,2023-11-03,2023-11-03,0.0835468,,0.0
493,2023-11-10,2023-11-10,0.018721294,,0.0
494,2023-11-17,2023-11-17,0.009834784,,1.0
495,2023-11-24,2023-11-24,0.0056434525,,1.0
496,2023-12-01,2023-12-01,0.009468528,,1.0
497,2023-12-08,2023-12-08,0.00740409,,1.0
498,2023-12-15,2023-12-15,0.018114896,,1.0
499,2023-12-22,2023-12-22,0.009906049,,1.0
500,2023-12-29,2023-12-29,0.013777834,,1.0
501,2024-01-05,2024-01-05,0.026944634,,0.0
502,2024-01-12,2024-01-12,0.027958732,,0.0
503,2024-01-19,2024-01-19,0.011863776,,1.0
504,2024-01-26,2024-01-26,0.0067868093,,1.0
505,2024-02-02,2024-02-02,0.0024626115,,1.0
506,2024-02-09,2024-02-09,0.0012878273,,1.0
507,2024-02-16,2024-02-16,0.019903962,,0.0
508,2024-02-23,2024-02-23,0.006295674,,1.0
509,2024-03-01,2024-03-01,0.00012615416,,1.0
